Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
Enhancing the implementation and sustainability of fundamental movement skill interventions in the UK and Ireland: lessons from collective intelligence engagement with stakeholders,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-implementation-and-sustainability-of-fundamental-mo,03-Nov-21,"['Ma, J.', 'Eyre, E.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Fundamental Movement Skill Proficiency Among British Primary School Children: Analysis at a Behavioral Component Level,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-proficiency-among-british-primary-scho,Apr-21,"['Eyre, E. L. J.', 'Tallis, J.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,07-Apr-21,"['Duncan, M.', 'Eyre, E.', 'Noon, M.', 'Morris, R.', 'Thake, C. D.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/rhys-morris', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Habitual Caffeine Consumption Does Not Affect the Ergogenicity of Coffee Ingestion During a 5 km Cycling Time Trial,https://pureportal.coventry.ac.uk/en/publications/habitual-caffeine-consumption-does-not-affect-the-ergogenicity-of,Jan-21,"['Clarke, N. D.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Histone mRNA is subject to 3’ uridylation and re-adenylation in Aspergillus nidulans,https://pureportal.coventry.ac.uk/en/publications/histone-mrna-is-subject-to-3-uridylation-and-re-adenylation-in-as,Feb-21,"['Morozov, I.']",['https://pureportal.coventry.ac.uk/en/persons/igor-morozov']
,,,,
