Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
,,,,
Exercise intensity-dependent effects of arm and leg-cycling on cognitive performance,https://pureportal.coventry.ac.uk/en/publications/exercise-intensity-dependent-effects-of-arm-and-leg-cycling-on-co,21-Oct-19,"['Hill, M.', 'Price, M.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/mike-price', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Exploring the preparation practices of teachers who organise secondary school ski trips in England and Wales,https://pureportal.coventry.ac.uk/en/publications/exploring-the-preparation-practices-of-teachers-who-organise-seco,01-Feb-19,"['Stanley, M.', 'Duncan, M. J.', 'Price, M.', 'Leddington Wright, S.', 'Coad, J.']","['https://pureportal.coventry.ac.uk/en/persons/michelle-evans', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/mike-price', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright', 'https://pureportal.coventry.ac.uk/en/persons/jane-coad']"
,,,,
Facial Palsy Therapy: Can Novel ‘Smart Spectacles’ Help People Smile?,https://pureportal.coventry.ac.uk/en/publications/facial-palsy-therapy-can-novel-smart-spectacles-help-people-smile,03-Jan-19,"['Szczepura, A.', 'Khan, A.', 'Holliday, N.', 'Oxford, S.']","['https://pureportal.coventry.ac.uk/en/persons/ala-szczepura', 'https://pureportal.coventry.ac.uk/en/persons/amir-khan', 'https://pureportal.coventry.ac.uk/en/persons/nikki-holliday', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford']"
,,,,
Higher Education Outreach: Examining Key Challenges For Academics,https://pureportal.coventry.ac.uk/en/publications/higher-education-outreach-examining-key-challenges-for-academics,02-Oct-19,"['Williams, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
High-Temperature Synthesis of Nickel-Based Nanoparticles for Use as Materials in Sensors of Potentially Hazardous Gases,https://pureportal.coventry.ac.uk/en/publications/high-temperature-synthesis-of-nickel-based-nanoparticles-for-use-,16-Sep-19,"['Tarttelin Hernandez, P.']",['https://pureportal.coventry.ac.uk/en/persons/paula-tarttelin-hernandez']
,,,,
"Impact of Novel Nonthermal Processing on Food Quality: Sustainability, Modelling, and Negative Aspects",https://pureportal.coventry.ac.uk/en/publications/impact-of-novel-nonthermal-processing-on-food-quality-sustainabil,20-Feb-19,[],[]
,,,,
Implausible discussions in saturated fat “research”; Definitive solutions won’t come from another million editorials (or a million views of one),https://pureportal.coventry.ac.uk/en/publications/implausible-discussions-in-saturated-fat-research-definitive-solu,Dec-19,[],[]
,,,,
"Investigating A Dose Response Relationship between High Fat Diet Consumption and the Contractile Performance of Isolated Mouse Soleus, EDL and Diaphragm Muscles",https://pureportal.coventry.ac.uk/en/publications/investigating-a-dose-response-relationship-between-high-fat-diet-,Jan-19,"['James, R.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Investigation into pedestrian height and SUV front-end height effects in a crash,https://pureportal.coventry.ac.uk/en/publications/investigation-into-pedestrian-height-and-suv-front-end-height-eff,Feb-19,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Isokinetic Strength Differences Between Elite Senior and Youth Female Soccer Players Identifies Training Requirements,https://pureportal.coventry.ac.uk/en/publications/isokinetic-strength-differences-between-elite-senior-and-youth-fe,01-Sep-19,"['Eustace, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-eustace']
,,,,
"James Lind Alliance research priorities: What role do carbohydrates, fats and proteins have in the management of type 2 diabetes, and are there risks and benefits associated with particular approaches?",https://pureportal.coventry.ac.uk/en/publications/james-lind-alliance-research-priorities-what-role-do-carbohydrate,Mar-19,[],[]
,,,,
Low doses of caffeine:  Enhancement of physical performance in elite adolescent male soccer players,https://pureportal.coventry.ac.uk/en/publications/low-doses-of-caffeine-enhancement-of-physical-performance-in-elit,May-19,"['Noon, M.', 'Clarke, N.']","['https://pureportal.coventry.ac.uk/en/persons/mark-noon', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke']"
,,,,
Maternal Dietary Pattern with an Emphasis on Child Growth Pattern and Exclusive Breastfeeding Duration,https://pureportal.coventry.ac.uk/en/publications/maternal-dietary-pattern-with-an-emphasis-on-child-growth-pattern,Jun-19,"['Bokaee, S.']",['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
,,,,
Morphological alterations of mouse skeletal muscles during early ageing are muscle specific,https://pureportal.coventry.ac.uk/en/publications/morphological-alterations-of-mouse-skeletal-muscles-during-early-,01-Oct-19,"['Tallis, J.']",['https://pureportal.coventry.ac.uk/en/persons/jason-tallis']
,,,,
Motion sickness in automated vehicles with forward and rearward facing seating orientations,https://pureportal.coventry.ac.uk/en/publications/motion-sickness-in-automated-vehicles-with-forward-and-rearward-f,Jul-19,"['Herriotts, P.', 'Kanarachos, S.', 'Thake, D.']","['https://pureportal.coventry.ac.uk/en/persons/paul-herriotts', 'https://pureportal.coventry.ac.uk/en/persons/stratis-kanarachos', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Motion Sickness Prediction Device for Automated Vehicles,https://pureportal.coventry.ac.uk/en/publications/motion-sickness-prediction-device-for-automated-vehicles,21-May-19,"['Thake, D.', 'Kanarachos, S.']","['https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/stratis-kanarachos']"
,,,,
mRNA levels are buffered upon knockdown of RNA decay and translation factors via adjustment of transcription rates in human HepG2 cells,https://pureportal.coventry.ac.uk/en/publications/mrna-levels-are-buffered-upon-knockdown-of-rna-decay-and-translat,02-Sep-19,"['James, R.', 'Morozov, I.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/igor-morozov']"
,,,,
Novel Isokinetic Dynamometry of the Thigh Musculature During Anterior Cruciate Ligament Rehabilitation in Professional Soccer: An Explorative Case Study,https://pureportal.coventry.ac.uk/en/publications/novel-isokinetic-dynamometry-of-the-thigh-musculature-during-ante,Mar-19,"['Eustace, S.']",['https://pureportal.coventry.ac.uk/en/persons/steven-eustace']
,,,,
Peer-to-peer teaching: Experience of 3rd year undergraduate sports therapy students and impact upon applied academic performance,https://pureportal.coventry.ac.uk/en/publications/peer-to-peer-teaching-experience-of-3rd-year-undergraduate-sports,Nov-19,"['Morgan, R.', 'Stanley, M.', 'Leddington Wright, S.']","['https://pureportal.coventry.ac.uk/en/persons/richard-morgan-2', 'https://pureportal.coventry.ac.uk/en/persons/michelle-evans', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']"
,,,,
Plasmid-based gap-repair recombineered transgenes reveal a central role for introns in mutually exclusive alternative splicing in Down Syndrome Cell Adhesion Molecule exon 4,https://pureportal.coventry.ac.uk/en/publications/plasmid-based-gap-repair-recombineered-transgenes-reveal-a-centra,20-Feb-19,[],[]
,,,,
"Polyphenols as Natural Antioxidants: Sources, Extraction and Applications in Food, Cosmetics and Drugs",https://pureportal.coventry.ac.uk/en/publications/polyphenols-as-natural-antioxidants-sources-extraction-and-applic,09-Jul-19,[],[]
,,,,
"Preclinical toxicology and safety pharmacology of the first-in-class GADD45β/MKK7 inhibitor and clinical candidate, DTP3",https://pureportal.coventry.ac.uk/en/publications/preclinical-toxicology-and-safety-pharmacology-of-the-first-in-cl,2019,[],[]
,,,,
"Prevalence of Overweight and Obesity in Elementary School Students of Vitória, ES",https://pureportal.coventry.ac.uk/en/publications/prevalence-of-overweight-and-obesity-in-elementary-school-student,31-Mar-19,"['Guimaraes Ferreira, L.']",['https://pureportal.coventry.ac.uk/en/persons/lucas-guimaraes-ferreira-2']
,,,,
Protein engineering of Pseudomonas fluorescens peroxidase Dyp1B for oxidation of phenolic and polymeric lignin substrates,https://pureportal.coventry.ac.uk/en/publications/protein-engineering-of-pseudomonas-fluorescens-peroxidase-dyp1b-f,Apr-19,"['Ehibhatiomhan, A.', 'Mendel Williams, S.']","['https://pureportal.coventry.ac.uk/en/persons/austine-ehibhatiomhan', 'https://pureportal.coventry.ac.uk/en/persons/sharon-williams']"
,,,,
"Research Tracker 6 accelerometer calibration and validation in comparison to GENEActiv, ActiGraph, and gas analysis in young adults",https://pureportal.coventry.ac.uk/en/publications/research-tracker-6-accelerometer-calibration-and-validation-in-co,2019,"['Eyre, E.', 'Tallis, J.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Salsa Dance and Perceived Mental Health Benefits: A Servant Leadership Theory-Driven Study,https://pureportal.coventry.ac.uk/en/publications/salsa-dance-and-perceived-mental-health-benefits-a-servant-leader,01-Oct-19,"['Domene, P. A.']",['https://pureportal.coventry.ac.uk/en/persons/pablo-domene']
,,,,
Sequencing effects of object control and locomotor skill during Integrated Neuromuscular Training in 6-7 year old children,https://pureportal.coventry.ac.uk/en/publications/sequencing-effects-of-object-control-and-locomotor-skill-during-i,Aug-19,"['Duncan, M.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
"The antimicrobial efficacy of hypoxia mimicking cobalt oxide doped phosphate-based glasses against clinically relevant Gram positive, Gram negative bacteria and a fungal strain",https://pureportal.coventry.ac.uk/en/publications/the-antimicrobial-efficacy-of-hypoxia-mimicking-cobalt-oxide-dope,14-Jan-19,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
The beneficial health effects of green tea amino acid L-Theanine in animal models; promises and prospects for human trials,https://pureportal.coventry.ac.uk/en/publications/the-beneficial-health-effects-of-green-tea-amino-acid-l-theanine-,01-Mar-19,[],[]
,,,,
The effect of absolute exercise intensity on core temperature responses of athletes with a spinal cord injury,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-absolute-exercise-intensity-on-core-temperature-res,01-Jan-19,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
The effect of acute caffeine ingestion on upper and lower body anaerobic exercise performance,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-acute-caffeine-ingestion-on-upper-and-lower-body-an,26-Nov-19,"['Duncan, M.', 'Eyre, E.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
The effect of acute caffeine ingestion on upper body anaerobic exercise and cognitive performance,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-acute-caffeine-ingestion-on-upper-body-anaerobic-ex,Jan-19,"['Duncan, M.', 'Eyre, E.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
The effect of different drying techniques on phytochemical content and in vitro antioxidant properties of Australian-grown prickly pears (Opuntia ficus indica),https://pureportal.coventry.ac.uk/en/publications/the-effect-of-different-drying-techniques-on-phytochemical-conten,Mar-19,[],[]
,,,,
The effects of low-volume high-intensity interval training and circuit training on maximal oxygen uptake,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-low-volume-high-intensity-interval-training-and-ci,01-Aug-19,"['Gleadall-Siddall, D.', 'McGregor, G.']","['https://pureportal.coventry.ac.uk/en/persons/damien-gleadall-siddall', 'https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor']"
,,,,
The future development pathway of strength and conditioning: a proposed model from the UKSCA,https://pureportal.coventry.ac.uk/en/publications/the-future-development-pathway-of-strength-and-conditioning-a-pro,Mar-19,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
The Influence of Caffeine Expectancies on Simulated Soccer Performance in Recreational Individuals,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-caffeine-expectancies-on-simulated-soccer-perfor,25-Sep-19,"['Tallis, J.']",['https://pureportal.coventry.ac.uk/en/persons/jason-tallis']
,,,,
The likely effects of thermal climate change on vertebrate skeletal muscle mechanics with possible consequences for animal movement and behaviour,https://pureportal.coventry.ac.uk/en/publications/the-likely-effects-of-thermal-climate-change-on-vertebrate-skelet,31-Oct-19,"['James, R.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Therapeutic perceptions in management of transplant athletes at transplant games,https://pureportal.coventry.ac.uk/en/publications/therapeutic-perceptions-in-management-of-transplant-athletes-at-t,Sep-19,"['Leddington Wright, S.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
The reliability and validity of the bar-mounted PUSH BandTM 2.0 during bench press with moderate and heavy loads,https://pureportal.coventry.ac.uk/en/publications/the-reliability-and-validity-of-the-bar-mounted-push-bandtm-20-du,02-Dec-19,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
Thermoregulation during upper body exercise,https://pureportal.coventry.ac.uk/en/publications/thermoregulation-during-upper-body-exercise,01-Jan-19,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
The tumour suppressing role of the circadian clock,https://pureportal.coventry.ac.uk/en/publications/the-tumour-suppressing-role-of-the-circadian-clock,Jul-19,"['Roden, L. C.']",['https://pureportal.coventry.ac.uk/en/persons/laura-roden']
,,,,
"Tiotropium bromide, a long acting muscarinic receptor antagonist triggers intracellular calcium signalling in the heart",https://pureportal.coventry.ac.uk/en/publications/tiotropium-bromide-a-long-acting-muscarinic-receptor-antagonist-t,01-Dec-19,"['Renshaw, D.']",['https://pureportal.coventry.ac.uk/en/persons/derek-renshaw']
,,,,
Transplantee athlete training characteristics,https://pureportal.coventry.ac.uk/en/publications/transplantee-athlete-training-characteristics,Feb-19,"['Leddington Wright, S.', 'Thake, D.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
"Ultrasonic preparation, stability and thermal conductivity of a capped copper - methanol nanofluid",https://pureportal.coventry.ac.uk/en/publications/ultrasonic-preparation-stability-and-thermal-conductivity-of-a-ca,01-Jul-19,"['Graves, J.', 'Latvyte, E.', 'Emekwuru, N.']","['https://pureportal.coventry.ac.uk/en/persons/john-graves', 'https://pureportal.coventry.ac.uk/en/persons/egle-latvyte', 'https://pureportal.coventry.ac.uk/en/persons/nwabueze-emekwuru']"
,,,,
Ultrasound for improving the preservation of chicken meat,https://pureportal.coventry.ac.uk/en/publications/ultrasound-for-improving-the-preservation-of-chicken-meat,Jun-19,[],[]
,,,,
Using Theory to Understand the Barriers to Engagement in Group Offending Behavior Programs,https://pureportal.coventry.ac.uk/en/publications/using-theory-to-understand-the-barriers-to-engagement-in-group-of,01-May-19,"['Holdsworth, E.']",['https://pureportal.coventry.ac.uk/en/persons/emma-holdsworth']
,,,,
Viewpoints of adolescents with overweight and obesity attending lifestyle obesity treatment interventions: a qualitative systematic review,https://pureportal.coventry.ac.uk/en/publications/viewpoints-of-adolescents-with-overweight-and-obesity-attending-l,Jan-19,"['Jones, H.']",['https://pureportal.coventry.ac.uk/en/persons/helen-jones']
,,,,
A comparison of a structured home-based rehabilitation programme with conventional supervised pulmonary rehabilitation: A randomised non-inferiority trial,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-a-structured-home-based-rehabilitation-programme-,2018,"['Horton, E.', 'Sewell, L.']","['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/louise-sewall']"
,,,,
A gamified and mystery-driven approach for facilitating problem based learning in a postgraduate strength and conditioning module,https://pureportal.coventry.ac.uk/en/publications/a-gamified-and-mystery-driven-approach-for-facilitating-problem-b,31-May-18,"['Duncan, M.', 'Clarke, S.', 'Tallis, J.', 'Arnab, S.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/samantha-clarke', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab']"
,,,,
Age-related Changes in the Natural Killer Cell Response to Seasonal Influenza Vaccination are not Influenced by a Synbiotic; a Randomised Controlled Trial,https://pureportal.coventry.ac.uk/en/publications/age-related-changes-in-the-natural-killer-cell-response-to-season,22-Mar-18,"['Dong, H.']",['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
,,,,
A Longitudinal Clinical Study of Neurophysiological Responses and Patient-reported Outcomes throughout a Programme of Physiotherapy for Acute & Sub-acute Low Back Pain.,https://pureportal.coventry.ac.uk/en/publications/a-longitudinal-clinical-study-of-neurophysiological-responses-and,Jul-18,[],[]
,,,,
An evaluation of the antimicrobial effects of phytochemical fractions from Prosopsis africana and Uvaria chamae against Staphylococcus aureus and Pseudomonas aeruginosa,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-the-antimicrobial-effects-of-phytochemical-fract,Jul-18,"['Aldsworth, T.', 'Rollason, J.']","['https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth', 'https://pureportal.coventry.ac.uk/en/persons/jess-rollason']"
,,,,
A new intervention model for increasing physical activity levels in fitness centres based on the Behaviour Change Wheel,https://pureportal.coventry.ac.uk/en/publications/a-new-intervention-model-for-increasing-physical-activity-levels-,2018,"['Lopez-Fernandez, J.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/jorge-lopez-fernandez', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
A new procedure for the template synthesis of metal nanowires,https://pureportal.coventry.ac.uk/en/publications/a-new-procedure-for-the-template-synthesis-of-metal-nanowires,Feb-18,"['Graves, J.']",['https://pureportal.coventry.ac.uk/en/persons/john-graves']
,,,,
An Exercise-Induced Improvement In Isolated Skeletal Muscle Contractility Does Not Affect The Performance-Enhancing Benefit Of 70 [Mu]M Caffeine Treatment.,https://pureportal.coventry.ac.uk/en/publications/an-exercise-induced-improvement-in-isolated-skeletal-muscle-contr,05-Nov-18,"['Tallis, J.', 'Duncan, M.', 'James, R.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/rob-james']"
,,,,
"A qualitative, exploratory study of nurses’ decision-making when interrupted during medication administration within the Paediatric Intensive Care Unit",https://pureportal.coventry.ac.uk/en/publications/a-qualitative-exploratory-study-of-nurses-decision-making-when-in,Feb-18,"['Coad, J.']",['https://pureportal.coventry.ac.uk/en/persons/jane-coad']
,,,,
Assessment of power,https://pureportal.coventry.ac.uk/en/publications/assessment-of-power,Oct-18,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
Association for Academic Outreach Evidence Submission to the UPP Foundation Civic University Commission 2018 Association for Academic Outreach,https://pureportal.coventry.ac.uk/en/publications/association-for-academic-outreach-evidence-submission-to-the-upp-,31-Jul-18,"['Williams, S.']",['https://pureportal.coventry.ac.uk/en/persons/sharon-williams']
,,,,
A Weekly Structured Physical Activity Program Enhances Short-term Retention Of Middle-aged Adult Fitness Centre Users,https://pureportal.coventry.ac.uk/en/publications/a-weekly-structured-physical-activity-program-enhances-short-term,May-18,"['Lopez-Fernandez, J.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/jorge-lopez-fernandez', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
Cardiorespiratory and perceptual responses to self-regulated and imposed submaximal arm-leg ergometry,https://pureportal.coventry.ac.uk/en/publications/cardiorespiratory-and-perceptual-responses-to-self-regulated-and-,May-18,"['Hill, M.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Cardiorespiratory fitness and activity explains the obesity-deprivation relationship in children,https://pureportal.coventry.ac.uk/en/publications/cardiorespiratory-fitness-and-activity-explains-the-obesity-depri-2,Jun-18,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Carrying heavy asymmetrical loads increases postural sway during quiet standing in older adults,https://pureportal.coventry.ac.uk/en/publications/carrying-heavy-asymmetrical-loads-increases-postural-sway-during-,Sep-18,"['Hill, M.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Change of direction technical models: biomechanical principles,https://pureportal.coventry.ac.uk/en/publications/change-of-direction-technical-models-biomechanical-principles,2018,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
Children with albinism in African regions: their rights to ‘being’ and ‘doing',https://pureportal.coventry.ac.uk/en/publications/children-with-albinism-in-african-regions-their-rights-to-being-a,12-Jan-18,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Classification of spinal cord injury: The role of thermoregulation,https://pureportal.coventry.ac.uk/en/publications/classification-of-spinal-cord-injury-the-role-of-thermoregulation,Jul-18,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
Coffee Ingestion Enhances 1-Mile Running Race Performance,https://pureportal.coventry.ac.uk/en/publications/coffee-ingestion-enhances-1-mile-running-race-performance,31-Jul-18,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Construct Validity of the Resistance Training Skills Battery in Children aged 7-10 years,https://pureportal.coventry.ac.uk/en/publications/construct-validity-of-the-resistance-training-skills-battery-in-c,2018,"['Duncan, M.', 'Tallis, J.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Controlled rupture of magnetic LbL polyelectrolyte capsules and subsequent release of contents employing high intensity focused ultrasound,https://pureportal.coventry.ac.uk/en/publications/controlled-rupture-of-magnetic-lbl-polyelectrolyte-capsules-and-s,01-Jun-18,[],[]
,,,,
Countdown to the Games: how prepared are you?,https://pureportal.coventry.ac.uk/en/publications/countdown-to-the-games-how-prepared-are-you,2018,"['Leddington Wright, S.']",['https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']
,,,,
CPT1a-dependent long-chain fatty acid oxidation is essential for maintaining glucagon secretion from pancreatic islets,https://pureportal.coventry.ac.uk/en/publications/cpt1a-dependent-long-chain-fatty-acid-oxidation-is-essential-for-,12-Jun-18,"['Dodd, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-dodd']
,,,,
Diabetes UK evidence-based nutrition guidelines for the prevention and management of diabetes,https://pureportal.coventry.ac.uk/en/publications/diabetes-uk-evidence-based-nutrition-guidelines-for-the-preventio-2,16-Apr-18,[],[]
,,,,
Dietary approaches for patients with heart failure and diabetes,https://pureportal.coventry.ac.uk/en/publications/dietary-approach-for-patients-with-heart-failure-and-diabetes,Aug-18,[],[]
,,,,
Doing descriptive phenomenological data collection in sport psychology research,https://pureportal.coventry.ac.uk/en/publications/doing-descriptive-phenomenological-data-collection-in-sport-psych,2018,"[""O'Halloran, L.""]",['https://pureportal.coventry.ac.uk/en/persons/lisa-ohalloran']
,,,,
Effect of long-term nutraceutical and dietary supplement use on cognition in the elderly - A 10-year systematic review of randomised controlled trials,https://pureportal.coventry.ac.uk/en/publications/effect-of-long-term-nutraceutical-and-dietary-supplement-use-on-c,14-Feb-18,[],[]
,,,,
Effect of Zr Addition on the Corrosion of Ti in Acidic and Reactive Oxygen Species (ROS)-Containing Environments,https://pureportal.coventry.ac.uk/en/publications/effect-of-zr-addition-on-the-corrosion-of-ti-in-acidic-and-reacti,12-Mar-18,"['Burke, B.']",['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
,,,,
Effects Of A 12-week Structured Exercise Intervention On Cholesterol,https://pureportal.coventry.ac.uk/en/publications/effects-of-a-12-week-structured-exercise-intervention-on-choleste,May-18,"['Lopez-Fernandez, J.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/jorge-lopez-fernandez', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
Effects of Exercise Referral Schemes on Physical Activity - preliminary results,https://pureportal.coventry.ac.uk/en/publications/effects-of-exercise-referral-schemes-on-physical-activity-prelimi,Jun-18,"['Rowley, N.', 'Horton, E.', 'Jimenez, A.']","['https://pureportal.coventry.ac.uk/en/persons/nikita-rowley', 'https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton', 'https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez']"
,,,,
Effects of external loads on postural sway during quiet stance in adults aged 20–80 years,https://pureportal.coventry.ac.uk/en/publications/effects-of-external-loads-on-postural-sway-during-quiet-stance-in,Jan-18,"['Hill, M.', 'Duncan, M.', 'Oxford, S.', 'Price, M.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/sam-oxford', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
Ethical issues in health and physical activity research,https://pureportal.coventry.ac.uk/en/publications/ethical-issues-in-health-and-physical-activity-research,20-Dec-18,[],[]
,,,,
Fatty acids prevent Hypoxia-Inducible Factor 1α signalling in type 2 diabetes,https://pureportal.coventry.ac.uk/en/publications/fatty-acids-prevent-hypoxia-inducible-factor-1%CE%B1-signalling-in-typ,Aug-18,"['Dodd, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-dodd']
,,,,
Force-time Characteristics of the Countermovement Jump: Analyzing the Curve in Excel,https://pureportal.coventry.ac.uk/en/publications/force-time-characteristics-of-the-countermovement-jump-analyzing-,01-Apr-18,"['Mundy, P.']",['https://pureportal.coventry.ac.uk/en/persons/peter-mundy']
,,,,
"Fundamental Motor Skills of Children in Deprived Areas of England:  A Focus on Age, Gender and Ethnicity",https://pureportal.coventry.ac.uk/en/publications/fundamental-motor-skills-of-children-in-deprived-areas-of-england,13-Aug-18,"['Duncan, M.', 'Tallis, J.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Fundamental Movement Skills of Children Living in England:  The Role of Ethnicity and Native Language,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-of-children-living-in-england-the-rol,01-Feb-18,"['Eyre, E.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
